128 2
sum_of_four_sinusoids	burst_signal, sum_of_three_Gabor_atoms
0.9456568	-0.0491552	0.0341919
0.4595739	0.0757731	0.0112973
-0.7261743	0.1729992	-0.0347695
-1.3418850	0.2693694	0.1281500
-1.0114768	0.2381934	0.0343686
-0.5585742	0.2114743	-0.0569162
-0.7570362	0.0649398	-0.1557770
-1.3066984	-0.1076220	0.1305195
-1.3683320	-0.2032027	0.1434952
-1.2056991	-0.3736017	-0.2234220
-1.3343902	-0.3353730	-0.1637185
-1.6678624	-0.3028226	0.2076794
-1.3450233	-0.1145025	0.2454733
-0.0738550	0.0196311	-0.4049321
1.3407581	0.1605764	-0.2848948
1.6564721	0.2268804	0.4809324
1.3350355	0.2251245	0.3579748
1.2788784	0.2516129	-0.5035466
1.3860804	0.1341547	-0.3628487
1.2682131	0.0239135	0.5711502
0.7811428	-0.1003674	0.2925584
0.6255137	-0.3076504	-0.6677764
1.0756234	-0.2388238	-0.4391230
1.2970737	-0.2581675	0.5023889
0.6932188	-0.1718892	0.3612223
-0.3612934	-0.1044891	-0.4547778
-0.9696639	-0.0462372	-0.2551454
-0.6241461	0.1426530	0.3354443
-0.1108125	0.2768243	0.2618989
-0.0493649	0.3478872	-0.2279754
0.1684431	0.3163417	-0.2754149
0.6980478	0.1795451	0.0958162
1.0368838	0.0520136	0.2067404
0.3262076	-0.0658912	-0.1998724
-0.7245999	-0.2783702	0.0098609
-1.3561358	-0.3068900	0.0077821
-1.0751362	-0.2551704	0.0505506
-0.6977527	-0.2500338	-0.0707734
-0.7326372	0.0027402	-0.0088501
-1.2582385	0.0624575	0.0649868
-1.3543296	0.1886437	0.0592244
-1.2246802	0.3139894	0.0111613
-1.4230493	0.2495446	-0.0274140
-1.6603606	0.2557107	-0.0090384
-1.2911826	0.1275159	0.0210471
-0.0438857	-0.0455739	0.0348723
1.3534926	-0.1342894	0.0389032
1.7041282	-0.2128718	0.0325658
1.4302425	-0.3254815	-0.0797445
1.2122573	-0.2482747	0.0460827
1.3172737	-0.1735053	-0.0509728
1.3045863	-0.0721600	0.0029054
0.8092717	0.0660581	0.0652811
0.6423787	0.2219463	-0.0207438
1.0144859	0.3377183	-0.0074382
1.3093371	0.2790337	-0.0136253
0.7280771	0.1475464	-0.0792342
-0.4012656	0.1122162	-0.0073703
-0.9336853	0.0432235	-0.0845768
-0.6729516	-0.1806145	0.0325247
-0.1395126	-0.1770230	-0.0217304
0.0630083	-0.3214662	0.0464121
0.1508773	-0.2286425	-0.0325429
0.6218956	-0.1225920	-0.0747717
1.0082596	-0.0122747	-0.0081699
0.4066282	0.1197787	0.0136937
-0.6951665	0.1895339	-0.0849541
-1.3383358	0.2416318	-0.0497122
-0.9148844	0.3380161	-0.0070605
-0.6256388	0.2362872	0.0420960
-0.8531380	0.0830700	0.0019829
-1.2618809	-0.1228215	-0.0162453
-1.3796703	-0.2285115	0.0171614
-1.1391476	-0.3232066	0.0587217
-1.3683714	-0.3168740	-0.0297044
-1.7159938	-0.2168201	-0.0092017
-1.1789422	-0.0837500	-0.0023860
